Tiempo UTC-4,Temperatura del Aire ºC,Humedad Relativa %,Presión Atmosférica mbar,Radiación Solar Mj/m²,Velocidad de Viento km/h,Temperatura del Aire % de datos ,Humedad Relativa % de datos ,Presión Atmosférica % de datos ,Radiación Solar % de datos ,Velocidad de Viento % de datos ,Localidad
2015,13.5,36.0,707.3,22.8,3.8,100.0,100.0,100.0,100.0,100.0,20250618113358
2016,13.4,32.8,708.2,24.2,3.9,100.0,100.0,100.0,100.0,100.0,20250618113358
2017,12.9,40.7,707.9,26.9,4.0,87.0,87.0,87.0,87.0,87.0,20250618113358
2018,12.5,36.3,703.2,26.3,6.9,92.0,92.0,92.0,92.0,92.0,20250618113358
2019,12.7,37.1,701.8,22.3,7.7,88.0,88.0,88.0,88.0,88.0,20250618113358
2020,12.2,40.8,701.7,22.2,7.4,100.0,100.0,100.0,100.0,100.0,20250618113358
2021,11.9,36.4,701.5,23.6,7.8,100.0,100.0,100.0,100.0,100.0,20250618113358
2022,11.5,35.1,701.4,23.5,7.5,100.0,100.0,100.0,100.0,100.0,20250618113358
2023,12.7,38.3,701.7,23.3,7.0,100.0,98.0,100.0,100.0,100.0,20250618113358
2024,12.9,37.2,702.0,23.4,7.1,100.0,98.0,100.0,100.0,100.0,20250618113358
2025,11.9,52.8,701.8,18.9,4.9,46.0,46.0,46.0,46.0,46.0,20250618113358
2018,11.1,30.2,687.4,22.8,6.4,84.0,83.0,84.0,84.0,84.0,20250618113505
2019,11.7,36.1,687.5,23.4,6.1,100.0,99.0,100.0,100.0,100.0,20250618113505
2020,11.4,39.9,687.6,22.4,5.9,100.0,99.0,100.0,100.0,100.0,20250618113505
2021,11.1,35.1,687.5,23.8,6.3,100.0,100.0,100.0,100.0,100.0,20250618113505
2022,10.7,34.1,687.3,23.5,6.4,100.0,96.0,100.0,100.0,100.0,20250618113505
2023,11.9,37.1,687.7,23.4,6.4,100.0,98.0,100.0,100.0,100.0,20250618113505
2024,12.1,36.6,688.0,23.3,6.1,100.0,100.0,100.0,100.0,100.0,20250618113505
2025,11.1,55.6,687.8,19.0,6.1,44.0,44.0,44.0,44.0,44.0,20250618113505
2017,12.2,36.8,695.2,22.7,6.2,99.0,99.0,99.0,99.0,99.0,20250618113802
2018,12.3,34.5,694.9,24.1,6.2,100.0,100.0,100.0,100.0,100.0,20250618113802
2019,12.8,34.7,695.1,23.8,6.0,100.0,100.0,100.0,100.0,100.0,20250618113802
2020,12.5,37.6,695.3,22.1,5.4,97.0,97.0,99.0,99.0,99.0,20250618113802
2021,12.3,34.5,695.0,23.5,5.5,100.0,100.0,100.0,100.0,100.0,20250618113802
2022,11.8,32.9,694.9,23.3,5.1,100.0,99.0,100.0,100.0,100.0,20250618113802
2023,13.1,36.1,695.2,23.0,5.2,100.0,100.0,100.0,100.0,100.0,20250618113802
2024,13.4,35.9,695.5,22.9,5.1,100.0,99.0,100.0,100.0,100.0,20250618113802
2025,12.6,52.4,695.3,18.9,4.4,46.0,46.0,46.0,46.0,46.0,20250618113802
